ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,Ag,Ag Method,Al,Al Method,As,As Method,Au,Au Method,B,B Method,Ba,Ba Method,Be,Be Method,Bi,Bi Method,Ca,Ca Method,Cd,Cd Method,Ce,Ce Method,Cl,Cl Method,Co,Co Method,Cr,Cr Method,Cs,Cs Method,Cu,Cu Method,Dy,Dy Method,Er,Er Method,Eu,Eu Method,Fe,Fe Method,Ga,Ga Method,Gd,Gd Method,Ge,Ge Method,Hf,Hf Method,Hg,Hg Method,Ho,Ho Method,In,In Method,Ir,Ir Method,K,K Method,La,La Method,Li,Li Method,Lu,Lu Method,Mg,Mg Method,Mn,Mn Method,Mo,Mo Method,Na,Na Method,Nb,Nb Method,Nd,Nd Method,Ni,Ni Method,P,P Method,Pb,Pb Method,Pd,Pd Method,Pr,Pr Method,Pt,Pt Method,Rb,Rb Method,Re,Re Method,Rh,Rh Method,Ru,Ru Method,S,S Method,Sb,Sb Method,Sc,Sc Method,Se,Se Method,Si,Si Method,Sm,Sm Method,Sn,Sn Method,Sr,Sr Method,Ta,Ta Method,Tb,Tb Method,Te,Te Method,Th,Th Method,Ti,Ti Method,Tl,Tl Method,Tm,Tm Method,U,U Method,V,V Method,W,W Method,Y,Y Method,Yb,Yb Method,Zn,Zn Method,Zr,Zr Method
OREAS0235b,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,0.145,Aqua Regia Digestion,75700,4-Acid Digestion,353,4-Acid Digestion,1.63,Pb Fire Assay,,,691,4-Acid Digestion,2.54,4-Acid Digestion,0.34,4-Acid Digestion,8600,4-Acid Digestion,0.046,Aqua Regia Digestion,83,4-Acid Digestion,,,17.8,4-Acid Digestion,128,4-Acid Digestion,9.98,4-Acid Digestion,29,4-Acid Digestion,3.69,4-Acid Digestion,2.05,4-Acid Digestion,1.29,4-Acid Digestion,41500,4-Acid Digestion,19.9,4-Acid Digestion,5.23,4-Acid Digestion,0.12,Aqua Regia Digestion,3.92,4-Acid Digestion,,,0.71,4-Acid Digestion,0.07,4-Acid Digestion,,,27600,4-Acid Digestion,41,4-Acid Digestion,55,4-Acid Digestion,0.27,4-Acid Digestion,17800,4-Acid Digestion,410,4-Acid Digestion,0.98,4-Acid Digestion,7540,4-Acid Digestion,15.8,4-Acid Digestion,36,4-Acid Digestion,61,Aqua Regia Digestion,760,4-Acid Digestion,19.1,4-Acid Digestion,,,9.71,4-Acid Digestion,,,88,Aqua Regia Digestion,,,,,,,1410,4-Acid Digestion,327,4-Acid Digestion,14.7,4-Acid Digestion,,,,,,,3.79,4-Acid Digestion,149,4-Acid Digestion,1.18,4-Acid Digestion,0.69,4-Acid Digestion,,,14.8,4-Acid Digestion,4890,4-Acid Digestion,0.86,4-Acid Digestion,0.3,4-Acid Digestion,2.81,4-Acid Digestion,81,Aqua Regia Digestion,2.34,4-Acid Digestion,16.4,4-Acid Digestion,1.8,4-Acid Digestion,97,4-Acid Digestion,140,4-Acid Digestion
OREAS0236,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,0.488,Aqua Regia Digestion,65900,4-Acid Digestion,68,4-Acid Digestion,1.85,Pb Fire Assay,90,Aqua Regia Digestion,246,4-Acid Digestion,0.46,4-Acid Digestion,0.061,4-Acid Digestion,59300,4-Acid Digestion,0.62,4-Acid Digestion,14,4-Acid Digestion,,,42,4-Acid Digestion,86,4-Acid Digestion,1.01,4-Acid Digestion,170,4-Acid Digestion,3.94,4-Acid Digestion,2.43,4-Acid Digestion,0.96,4-Acid Digestion,80000,4-Acid Digestion,16.1,4-Acid Digestion,3.47,4-Acid Digestion,0.15,Aqua Regia Digestion,1.8,4-Acid Digestion,0.046,Aqua Regia Digestion,0.86,4-Acid Digestion,0.08,4-Acid Digestion,,,5590,4-Acid Digestion,5.99,4-Acid Digestion,10.5,4-Acid Digestion,0.37,4-Acid Digestion,34000,4-Acid Digestion,1330,4-Acid Digestion,1.56,4-Acid Digestion,21500,4-Acid Digestion,3.63,4-Acid Digestion,9.01,4-Acid Digestion,49,Aqua Regia Digestion,450,4-Acid Digestion,30,4-Acid Digestion,,,1.94,4-Acid Digestion,,,5.87,Aqua Regia Digestion,0.003,4-Acid Digestion,,,,,4440,4-Acid Digestion,1.76,4-Acid Digestion,38,4-Acid Digestion,,,,,1.89,Aqua Regia Digestion,1.08,4-Acid Digestion,95,4-Acid Digestion,0.25,4-Acid Digestion,0.62,4-Acid Digestion,0.11,Aqua Regia Digestion,1.1,4-Acid Digestion,6390,4-Acid Digestion,0.24,4-Acid Digestion,0.36,4-Acid Digestion,0.35,4-Acid Digestion,158,Aqua Regia Digestion,30,4-Acid Digestion,22,4-Acid Digestion,2.32,4-Acid Digestion,144,4-Acid Digestion,55,4-Acid Digestion
OREAS0237,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,0.172,Aqua Regia Digestion,24900,Aqua Regia Digestion,458,Aqua Regia Digestion,2.21,Pb Fire Assay,,,101,Aqua Regia Digestion,1.16,Aqua Regia Digestion,0.35,Aqua Regia Digestion,2120,Aqua Regia Digestion,0.033,Aqua Regia Digestion,57,Aqua Regia Digestion,,,,,98,Aqua Regia Digestion,7.39,Aqua Regia Digestion,25,Aqua Regia Digestion,2.27,Aqua Regia Digestion,1.02,Aqua Regia Digestion,0.8,Aqua Regia Digestion,34100,Aqua Regia Digestion,7.75,Aqua Regia Digestion,3.72,Aqua Regia Digestion,0.095,Aqua Regia Digestion,0.8,Aqua Regia Digestion,,,0.37,Aqua Regia Digestion,0.023,Aqua Regia Digestion,,,9580,Aqua Regia Digestion,29,Aqua Regia Digestion,33,Aqua Regia Digestion,0.12,Aqua Regia Digestion,12700,Aqua Regia Digestion,210,Aqua Regia Digestion,0.54,Aqua Regia Digestion,730,Aqua Regia Digestion,,,28,Aqua Regia Digestion,56,Aqua Regia Digestion,490,Aqua Regia Digestion,9.28,Aqua Regia Digestion,,,7.54,Aqua Regia Digestion,,,93,Aqua Regia Digestion,,,,,,,1050,Aqua Regia Digestion,337,Aqua Regia Digestion,5.78,Aqua Regia Digestion,,,,,5.04,Aqua Regia Digestion,1.3,Aqua Regia Digestion,17.7,Aqua Regia Digestion,,,0.45,Aqua Regia Digestion,,,13,Aqua Regia Digestion,1370,Aqua Regia Digestion,0.59,Aqua Regia Digestion,,,1.53,Aqua Regia Digestion,66,Aqua Regia Digestion,0.48,Aqua Regia Digestion,9.32,Aqua Regia Digestion,0.84,Aqua Regia Digestion,75,Aqua Regia Digestion,,
OREAS0237b,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,0.176,Aqua Regia Digestion,73200,4-Acid Digestion,591,4-Acid Digestion,2.26,Pb Fire Assay,,,683,4-Acid Digestion,2.47,4-Acid Digestion,0.35,4-Acid Digestion,9030,4-Acid Digestion,0.043,Aqua Regia Digestion,81,4-Acid Digestion,,,17.3,4-Acid Digestion,123,4-Acid Digestion,9.42,4-Acid Digestion,28,4-Acid Digestion,3.6,4-Acid Digestion,2,4-Acid Digestion,1.25,4-Acid Digestion,40500,4-Acid Digestion,19.4,4-Acid Digestion,5.06,4-Acid Digestion,0.11,Aqua Regia Digestion,3.94,4-Acid Digestion,,,0.68,4-Acid Digestion,0.066,4-Acid Digestion,,,26500,4-Acid Digestion,39,4-Acid Digestion,52,4-Acid Digestion,0.28,4-Acid Digestion,17000,4-Acid Digestion,410,4-Acid Digestion,0.97,4-Acid Digestion,7560,4-Acid Digestion,13.6,4-Acid Digestion,34,4-Acid Digestion,60,Aqua Regia Digestion,660,4-Acid Digestion,20,4-Acid Digestion,,,9.29,4-Acid Digestion,,,85,Aqua Regia Digestion,,,,,,,1930,4-Acid Digestion,460,4-Acid Digestion,14.2,4-Acid Digestion,,,,,,,3.61,4-Acid Digestion,123,4-Acid Digestion,1.03,4-Acid Digestion,0.66,4-Acid Digestion,,,14.5,4-Acid Digestion,4560,4-Acid Digestion,0.84,4-Acid Digestion,0.25,4-Acid Digestion,2.73,4-Acid Digestion,69,Aqua Regia Digestion,2.44,4-Acid Digestion,16.2,4-Acid Digestion,1.76,4-Acid Digestion,95,4-Acid Digestion,135,4-Acid Digestion
OREAS0238,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,0.22,Aqua Regia Digestion,23900,Aqua Regia Digestion,628,Aqua Regia Digestion,3.03,Pb Fire Assay,,,99,Aqua Regia Digestion,1.16,Aqua Regia Digestion,0.38,Aqua Regia Digestion,2300,Aqua Regia Digestion,0.039,Aqua Regia Digestion,55,Aqua Regia Digestion,,,,,96,Aqua Regia Digestion,7.19,Aqua Regia Digestion,29,Aqua Regia Digestion,2.22,Aqua Regia Digestion,1,Aqua Regia Digestion,0.78,Aqua Regia Digestion,33800,Aqua Regia Digestion,7.55,Aqua Regia Digestion,3.59,Aqua Regia Digestion,0.088,Aqua Regia Digestion,0.77,Aqua Regia Digestion,,,0.38,Aqua Regia Digestion,0.023,Aqua Regia Digestion,,,9410,Aqua Regia Digestion,28,Aqua Regia Digestion,32,Aqua Regia Digestion,0.12,Aqua Regia Digestion,12500,Aqua Regia Digestion,220,Aqua Regia Digestion,0.61,Aqua Regia Digestion,700,Aqua Regia Digestion,,,,,55,Aqua Regia Digestion,490,Aqua Regia Digestion,10.1,Aqua Regia Digestion,,,7.15,Aqua Regia Digestion,,,89,Aqua Regia Digestion,,,,,,,1400,Aqua Regia Digestion,461,Aqua Regia Digestion,5.71,Aqua Regia Digestion,,,,,4.85,Aqua Regia Digestion,1.3,Aqua Regia Digestion,19.5,Aqua Regia Digestion,,,0.45,Aqua Regia Digestion,,,12.3,Aqua Regia Digestion,1300,Aqua Regia Digestion,0.57,Aqua Regia Digestion,0.12,Aqua Regia Digestion,1.51,Aqua Regia Digestion,64,Aqua Regia Digestion,0.52,Aqua Regia Digestion,8.96,Aqua Regia Digestion,0.8,Aqua Regia Digestion,77,Aqua Regia Digestion,,
OREAS0238b,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,0.24,Aqua Regia Digestion,74700,4-Acid Digestion,676,4-Acid Digestion,3.08,Pb Fire Assay,,,685,4-Acid Digestion,2.47,4-Acid Digestion,0.4,4-Acid Digestion,8550,4-Acid Digestion,0.097,4-Acid Digestion,81,4-Acid Digestion,,,17,4-Acid Digestion,124,4-Acid Digestion,9.52,4-Acid Digestion,31,4-Acid Digestion,3.56,4-Acid Digestion,1.9,4-Acid Digestion,1.26,4-Acid Digestion,41000,4-Acid Digestion,19.6,4-Acid Digestion,5.14,4-Acid Digestion,0.11,Aqua Regia Digestion,3.89,4-Acid Digestion,,,0.66,4-Acid Digestion,0.068,4-Acid Digestion,,,26900,4-Acid Digestion,39,4-Acid Digestion,49,4-Acid Digestion,0.29,4-Acid Digestion,17400,4-Acid Digestion,390,4-Acid Digestion,0.9,4-Acid Digestion,6760,4-Acid Digestion,14.3,4-Acid Digestion,34,4-Acid Digestion,61,Aqua Regia Digestion,650,4-Acid Digestion,23,4-Acid Digestion,,,9.31,4-Acid Digestion,,,83,Aqua Regia Digestion,,,,,,,1750,4-Acid Digestion,620,4-Acid Digestion,14.3,4-Acid Digestion,,,,,,,3.69,4-Acid Digestion,118,4-Acid Digestion,1.07,4-Acid Digestion,0.67,4-Acid Digestion,,,14.5,4-Acid Digestion,4610,4-Acid Digestion,0.85,4-Acid Digestion,0.27,4-Acid Digestion,2.74,4-Acid Digestion,69,Aqua Regia Digestion,2.8,4-Acid Digestion,16,4-Acid Digestion,1.82,4-Acid Digestion,100,4-Acid Digestion,132,4-Acid Digestion
OREAS0239,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,0.244,Aqua Regia Digestion,23900,Aqua Regia Digestion,704,Aqua Regia Digestion,3.55,Pb Fire Assay,,,96,Aqua Regia Digestion,1.15,Aqua Regia Digestion,0.38,Aqua Regia Digestion,2450,Aqua Regia Digestion,0.039,Aqua Regia Digestion,54,Aqua Regia Digestion,,,,,95,Aqua Regia Digestion,7,Aqua Regia Digestion,27,Aqua Regia Digestion,2.18,Aqua Regia Digestion,0.97,Aqua Regia Digestion,0.76,Aqua Regia Digestion,33600,Aqua Regia Digestion,7.48,Aqua Regia Digestion,3.71,Aqua Regia Digestion,0.09,Aqua Regia Digestion,0.75,Aqua Regia Digestion,,,0.35,Aqua Regia Digestion,0.023,Aqua Regia Digestion,,,9310,Aqua Regia Digestion,28,Aqua Regia Digestion,32,Aqua Regia Digestion,0.12,Aqua Regia Digestion,12300,Aqua Regia Digestion,220,Aqua Regia Digestion,0.59,Aqua Regia Digestion,700,Aqua Regia Digestion,,,,,55,Aqua Regia Digestion,480,Aqua Regia Digestion,10.9,Aqua Regia Digestion,,,6.96,Aqua Regia Digestion,,,88,Aqua Regia Digestion,,,,,,,1550,Aqua Regia Digestion,518,Aqua Regia Digestion,5.67,Aqua Regia Digestion,,,,,4.65,Aqua Regia Digestion,1.29,Aqua Regia Digestion,20,Aqua Regia Digestion,,,0.4,Aqua Regia Digestion,,,12.6,Aqua Regia Digestion,1280,Aqua Regia Digestion,0.57,Aqua Regia Digestion,0.12,Aqua Regia Digestion,1.51,Aqua Regia Digestion,63,Aqua Regia Digestion,0.54,Aqua Regia Digestion,8.95,Aqua Regia Digestion,0.8,Aqua Regia Digestion,75,Aqua Regia Digestion,,
OREAS0239b,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,0.266,Aqua Regia Digestion,73600,4-Acid Digestion,816,4-Acid Digestion,3.61,Pb Fire Assay,,,678,4-Acid Digestion,2.42,4-Acid Digestion,0.39,4-Acid Digestion,8670,4-Acid Digestion,0.093,4-Acid Digestion,78,4-Acid Digestion,,,16.9,4-Acid Digestion,123,4-Acid Digestion,9.37,4-Acid Digestion,31,4-Acid Digestion,3.47,4-Acid Digestion,1.76,4-Acid Digestion,1.19,4-Acid Digestion,40700,4-Acid Digestion,19.3,4-Acid Digestion,4.96,4-Acid Digestion,0.1,Aqua Regia Digestion,3.81,4-Acid Digestion,,,0.68,4-Acid Digestion,0.068,4-Acid Digestion,,,26700,4-Acid Digestion,38,4-Acid Digestion,48,4-Acid Digestion,0.28,4-Acid Digestion,17200,4-Acid Digestion,390,4-Acid Digestion,0.99,4-Acid Digestion,6820,4-Acid Digestion,14.1,4-Acid Digestion,33,4-Acid Digestion,59,Aqua Regia Digestion,650,4-Acid Digestion,23,4-Acid Digestion,,,9.04,4-Acid Digestion,,,83,Aqua Regia Digestion,,,,,,,2080,4-Acid Digestion,727,4-Acid Digestion,14,4-Acid Digestion,,,,,,,3.64,4-Acid Digestion,121,4-Acid Digestion,1.05,4-Acid Digestion,0.67,4-Acid Digestion,,,14.2,4-Acid Digestion,4600,4-Acid Digestion,0.83,4-Acid Digestion,0.26,4-Acid Digestion,2.66,4-Acid Digestion,67,Aqua Regia Digestion,2.94,4-Acid Digestion,15.6,4-Acid Digestion,1.7,4-Acid Digestion,98,4-Acid Digestion,131,4-Acid Digestion
OREAS0023a,Blank/lithogeochem/low-level,primary,granodiorite,barren,no,Archived,oreas-catalogue-2023-11-03.csv,0.1,4-Acid Digestion,,,37,4-Acid Digestion,0.003,Pb Fire Assay,,,1092,4-Acid Digestion,,,0.15,4-Acid Digestion,,,0.15,4-Acid Digestion,,,,,14.8,4-Acid Digestion,,,,,42,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,4-Acid Digestion,,,,,,,,,,,21,4-Acid Digestion,,,,,,,,,,,,,,,,,0.45,4-Acid Digestion,,,,,,,,,3.1,4-Acid Digestion,,,,,,,,,21,4-Acid Digestion,,,,,,,6.2,4-Acid Digestion,,,3.7,4-Acid Digestion,,,,,69,4-Acid Digestion,,
OREAS0023b,Blank/lithogeochem/low-level,primary,granodiorite,barren,no,Current,oreas-catalogue-2023-11-03.csv,0.065,4-Acid Digestion,78600,4-Acid Digestion,25,4-Acid Digestion,,,,,1100,4-Acid Digestion,3.62,4-Acid Digestion,0.15,4-Acid Digestion,25800,4-Acid Digestion,0.087,4-Acid Digestion,80,4-Acid Digestion,,,14,4-Acid Digestion,65,4-Acid Digestion,15.7,4-Acid Digestion,47,4-Acid Digestion,,,,,,,37200,4-Acid Digestion,19.3,4-Acid Digestion,,,,,3.12,4-Acid Digestion,,,,,0.053,4-Acid Digestion,,,33700,4-Acid Digestion,38,4-Acid Digestion,37,4-Acid Digestion,,,13900,4-Acid Digestion,550,4-Acid Digestion,3.2,4-Acid Digestion,20300,4-Acid Digestion,22,4-Acid Digestion,,,,,1040,4-Acid Digestion,23,4-Acid Digestion,,,,,,,,,,,,,,,680,4-Acid Digestion,0.59,4-Acid Digestion,12.8,4-Acid Digestion,,,,,,,4.06,4-Acid Digestion,301,4-Acid Digestion,1.64,4-Acid Digestion,,,,,22,4-Acid Digestion,5080,4-Acid Digestion,1.18,4-Acid Digestion,,,6.28,4-Acid Digestion,,,3.37,4-Acid Digestion,27,4-Acid Digestion,,,70,4-Acid Digestion,95,4-Acid Digestion
OREAS0240,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,1.3,Aqua Regia Digestion,68400,4-Acid Digestion,65,4-Acid Digestion,5.51,Pb Fire Assay,19.8,Aqua Regia Digestion,129,4-Acid Digestion,0.43,4-Acid Digestion,0.053,4-Acid Digestion,68500,4-Acid Digestion,0.63,4-Acid Digestion,13.3,4-Acid Digestion,,,40,4-Acid Digestion,103,4-Acid Digestion,0.97,4-Acid Digestion,168,4-Acid Digestion,3.51,4-Acid Digestion,2.17,4-Acid Digestion,0.88,4-Acid Digestion,73100,4-Acid Digestion,15.2,4-Acid Digestion,3.14,4-Acid Digestion,0.098,Aqua Regia Digestion,1.7,4-Acid Digestion,,,0.74,4-Acid Digestion,0.075,4-Acid Digestion,,,4530,4-Acid Digestion,5.72,4-Acid Digestion,11.4,4-Acid Digestion,0.31,4-Acid Digestion,34400,4-Acid Digestion,1250,4-Acid Digestion,1.7,4-Acid Digestion,16500,4-Acid Digestion,3.37,4-Acid Digestion,8.32,4-Acid Digestion,53,Aqua Regia Digestion,400,4-Acid Digestion,28,4-Acid Digestion,,,1.77,4-Acid Digestion,0.013,Aqua Regia Digestion,6.08,Aqua Regia Digestion,0.002,Aqua Regia Digestion,,,,,3990,4-Acid Digestion,1.48,4-Acid Digestion,38,4-Acid Digestion,,,,,1.56,Aqua Regia Digestion,1.08,4-Acid Digestion,213,4-Acid Digestion,0.23,4-Acid Digestion,0.53,4-Acid Digestion,0.11,Aqua Regia Digestion,1.13,4-Acid Digestion,5720,4-Acid Digestion,0.23,4-Acid Digestion,0.31,4-Acid Digestion,0.33,4-Acid Digestion,130,Aqua Regia Digestion,37,4-Acid Digestion,19.2,4-Acid Digestion,2.1,4-Acid Digestion,142,4-Acid Digestion,56,4-Acid Digestion
OREAS0240b,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,1.39,Aqua Regia Digestion,64900,4-Acid Digestion,98,4-Acid Digestion,5.65,Pb Fire Assay,23,Aqua Regia Digestion,324,4-Acid Digestion,0.47,4-Acid Digestion,0.073,4-Acid Digestion,56600,4-Acid Digestion,0.89,4-Acid Digestion,14.9,4-Acid Digestion,,,40,4-Acid Digestion,146,4-Acid Digestion,1.38,4-Acid Digestion,164,4-Acid Digestion,3.35,4-Acid Digestion,2.03,4-Acid Digestion,0.87,4-Acid Digestion,73100,4-Acid Digestion,14.8,4-Acid Digestion,2.89,4-Acid Digestion,0.095,4-Acid Digestion,1.66,4-Acid Digestion,,,0.67,4-Acid Digestion,0.075,4-Acid Digestion,,,7300,4-Acid Digestion,6.6,4-Acid Digestion,13.5,4-Acid Digestion,0.29,4-Acid Digestion,34400,4-Acid Digestion,1400,4-Acid Digestion,2.9,4-Acid Digestion,18700,4-Acid Digestion,3.54,4-Acid Digestion,8.74,4-Acid Digestion,68,Aqua Regia Digestion,430,4-Acid Digestion,40,4-Acid Digestion,,,1.91,4-Acid Digestion,,,8.91,Aqua Regia Digestion,0.002,4-Acid Digestion,,,,,5490,4-Acid Digestion,2.14,4-Acid Digestion,33,4-Acid Digestion,,,,,1.6,Aqua Regia Digestion,1.32,4-Acid Digestion,196,4-Acid Digestion,0.24,4-Acid Digestion,0.5,4-Acid Digestion,0.14,Aqua Regia Digestion,1.45,4-Acid Digestion,5430,4-Acid Digestion,0.34,4-Acid Digestion,0.29,4-Acid Digestion,0.42,4-Acid Digestion,116,Aqua Regia Digestion,47,4-Acid Digestion,18.3,4-Acid Digestion,1.87,4-Acid Digestion,173,4-Acid Digestion,53,4-Acid Digestion
OREAS0241,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,1.71,Aqua Regia Digestion,65000,4-Acid Digestion,71,4-Acid Digestion,6.91,Pb Fire Assay,92,Aqua Regia Digestion,241,4-Acid Digestion,0.48,4-Acid Digestion,0.067,4-Acid Digestion,58300,4-Acid Digestion,0.64,4-Acid Digestion,13.9,4-Acid Digestion,,,41,4-Acid Digestion,83,4-Acid Digestion,1.07,4-Acid Digestion,169,4-Acid Digestion,3.86,4-Acid Digestion,2.35,4-Acid Digestion,0.96,4-Acid Digestion,78300,4-Acid Digestion,15.8,4-Acid Digestion,3.41,4-Acid Digestion,0.13,Aqua Regia Digestion,1.81,4-Acid Digestion,0.057,Aqua Regia Digestion,0.83,4-Acid Digestion,0.078,4-Acid Digestion,,,5780,4-Acid Digestion,6.18,4-Acid Digestion,11.5,4-Acid Digestion,0.35,4-Acid Digestion,33400,4-Acid Digestion,1300,4-Acid Digestion,1.63,4-Acid Digestion,21200,4-Acid Digestion,3.69,4-Acid Digestion,9.09,4-Acid Digestion,46,Aqua Regia Digestion,450,4-Acid Digestion,32,4-Acid Digestion,,,1.98,4-Acid Digestion,,,6.33,Aqua Regia Digestion,0.003,4-Acid Digestion,,,,,4660,4-Acid Digestion,1.9,4-Acid Digestion,37,4-Acid Digestion,0.93,4-Acid Digestion,,,1.89,Aqua Regia Digestion,1.13,4-Acid Digestion,96,4-Acid Digestion,0.26,4-Acid Digestion,0.61,4-Acid Digestion,0.11,Aqua Regia Digestion,1.18,4-Acid Digestion,6260,4-Acid Digestion,0.26,4-Acid Digestion,0.35,4-Acid Digestion,0.37,4-Acid Digestion,152,Aqua Regia Digestion,33,4-Acid Digestion,21,4-Acid Digestion,2.28,4-Acid Digestion,147,4-Acid Digestion,58,4-Acid Digestion
OREAS0241b,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,1.73,Aqua Regia Digestion,65100,4-Acid Digestion,87,4-Acid Digestion,7.13,Pb Fire Assay,30,Aqua Regia Digestion,257,4-Acid Digestion,0.46,4-Acid Digestion,0.069,4-Acid Digestion,57900,4-Acid Digestion,0.78,4-Acid Digestion,14.8,4-Acid Digestion,,,40,4-Acid Digestion,119,4-Acid Digestion,1.22,4-Acid Digestion,166,4-Acid Digestion,3.63,4-Acid Digestion,2.21,4-Acid Digestion,0.97,4-Acid Digestion,75400,4-Acid Digestion,15.3,4-Acid Digestion,3.06,4-Acid Digestion,0.1,4-Acid Digestion,1.75,4-Acid Digestion,,,0.76,4-Acid Digestion,0.078,4-Acid Digestion,,,6290,4-Acid Digestion,6.34,4-Acid Digestion,12.8,4-Acid Digestion,0.32,4-Acid Digestion,33100,4-Acid Digestion,1330,4-Acid Digestion,2.19,4-Acid Digestion,19300,4-Acid Digestion,3.66,4-Acid Digestion,9.2,4-Acid Digestion,55,Aqua Regia Digestion,440,4-Acid Digestion,37,4-Acid Digestion,,,1.99,4-Acid Digestion,,,7.91,Aqua Regia Digestion,0.003,4-Acid Digestion,,,,,4960,4-Acid Digestion,1.98,4-Acid Digestion,35,4-Acid Digestion,,,,,1.6,Aqua Regia Digestion,1.32,4-Acid Digestion,156,4-Acid Digestion,0.25,4-Acid Digestion,0.53,4-Acid Digestion,0.13,Aqua Regia Digestion,1.3,4-Acid Digestion,5920,4-Acid Digestion,0.31,4-Acid Digestion,0.32,4-Acid Digestion,0.4,4-Acid Digestion,131,Aqua Regia Digestion,38,4-Acid Digestion,19.5,4-Acid Digestion,2.1,4-Acid Digestion,163,4-Acid Digestion,57,4-Acid Digestion
OREAS0242,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,2.05,Aqua Regia Digestion,66900,4-Acid Digestion,68,4-Acid Digestion,8.67,Pb Fire Assay,52,Aqua Regia Digestion,201,4-Acid Digestion,0.46,4-Acid Digestion,0.055,4-Acid Digestion,62000,4-Acid Digestion,0.65,4-Acid Digestion,13.7,4-Acid Digestion,,,40,4-Acid Digestion,92,4-Acid Digestion,1.03,4-Acid Digestion,174,4-Acid Digestion,3.64,4-Acid Digestion,2.22,4-Acid Digestion,0.88,4-Acid Digestion,75800,4-Acid Digestion,15.1,4-Acid Digestion,3.25,4-Acid Digestion,0.11,Aqua Regia Digestion,1.78,4-Acid Digestion,,,0.76,4-Acid Digestion,0.079,4-Acid Digestion,,,5470,4-Acid Digestion,5.92,4-Acid Digestion,11.5,4-Acid Digestion,0.31,4-Acid Digestion,33200,4-Acid Digestion,1270,4-Acid Digestion,1.61,4-Acid Digestion,18900,4-Acid Digestion,3.58,4-Acid Digestion,8.68,4-Acid Digestion,49,Aqua Regia Digestion,430,4-Acid Digestion,31,4-Acid Digestion,,,1.86,4-Acid Digestion,0.01,Aqua Regia Digestion,6.79,Aqua Regia Digestion,0.002,Aqua Regia Digestion,,,,,4440,4-Acid Digestion,1.78,4-Acid Digestion,37,4-Acid Digestion,,,,,1.64,Aqua Regia Digestion,1.15,4-Acid Digestion,147,4-Acid Digestion,0.25,4-Acid Digestion,0.55,4-Acid Digestion,0.11,Aqua Regia Digestion,1.19,4-Acid Digestion,6020,4-Acid Digestion,0.26,4-Acid Digestion,0.32,4-Acid Digestion,0.36,4-Acid Digestion,142,Aqua Regia Digestion,35,4-Acid Digestion,20,4-Acid Digestion,2.18,4-Acid Digestion,147,4-Acid Digestion,58,4-Acid Digestion
