ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,URL,Ag(PPM),Ag(%),Ag Method,Al(PPM),Al(%),Al Method,As(PPM),As(%),As Method,Au(PPM),Au(%),Au Method,B(PPM),B(%),B Method,Ba(PPM),Ba(%),Ba Method,Be(PPM),Be(%),Be Method,Bi(PPM),Bi(%),Bi Method,Ca(PPM),Ca(%),Ca Method,Cd(PPM),Cd(%),Cd Method,Ce(PPM),Ce(%),Ce Method,Cl(PPM),Cl(%),Cl Method,Co(PPM),Co(%),Co Method,Cr(PPM),Cr(%),Cr Method,Cs(PPM),Cs(%),Cs Method,Cu(PPM),Cu(%),Cu Method,Dy(PPM),Dy(%),Dy Method,Er(PPM),Er(%),Er Method,Eu(PPM),Eu(%),Eu Method,Fe(PPM),Fe(%),Fe Method,Ga(PPM),Ga(%),Ga Method,Gd(PPM),Gd(%),Gd Method,Ge(PPM),Ge(%),Ge Method,Hf(PPM),Hf(%),Hf Method,Hg(PPM),Hg(%),Hg Method,Ho(PPM),Ho(%),Ho Method,In(PPM),In(%),In Method,Ir(PPM),Ir(%),Ir Method,K(PPM),K(%),K Method,La(PPM),La(%),La Method,Li(PPM),Li(%),Li Method,Lu(PPM),Lu(%),Lu Method,Mg(PPM),Mg(%),Mg Method,Mn(PPM),Mn(%),Mn Method,Mo(PPM),Mo(%),Mo Method,Na(PPM),Na(%),Na Method,Nb(PPM),Nb(%),Nb Method,Nd(PPM),Nd(%),Nd Method,Ni(PPM),Ni(%),Ni Method,P(PPM),P(%),P Method,Pb(PPM),Pb(%),Pb Method,Pd(PPM),Pd(%),Pd Method,Pr(PPM),Pr(%),Pr Method,Pt(PPM),Pt(%),Pt Method,Rb(PPM),Rb(%),Rb Method,Re(PPM),Re(%),Re Method,Rh(PPM),Rh(%),Rh Method,Ru(PPM),Ru(%),Ru Method,S(PPM),S(%),S Method,Sb(PPM),Sb(%),Sb Method,Sc(PPM),Sc(%),Sc Method,Se(PPM),Se(%),Se Method,Si(PPM),Si(%),Si Method,Sm(PPM),Sm(%),Sm Method,Sn(PPM),Sn(%),Sn Method,Sr(PPM),Sr(%),Sr Method,Ta(PPM),Ta(%),Ta Method,Tb(PPM),Tb(%),Tb Method,Te(PPM),Te(%),Te Method,Th(PPM),Th(%),Th Method,Ti(PPM),Ti(%),Ti Method,Tl(PPM),Tl(%),Tl Method,Tm(PPM),Tm(%),Tm Method,U(PPM),U(%),U Method,V(PPM),V(%),V Method,W(PPM),W(%),W Method,Y(PPM),Y(%),Y Method,Yb(PPM),Yb(%),Yb Method,Zn(PPM),Zn(%),Zn Method,Zr(PPM),Zr(%),Zr Method
OREAS0240b,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-240b/,1.39,0.000139,Aqua Regia Digestion,64900.000000,6.490000,4-Acid Digestion,98.0,0.0098,4-Acid Digestion,5.65,0.000565,Pb Fire Assay,22.6,0.00226,Aqua Regia Digestion,324.000000,0.032400,4-Acid Digestion,0.47,4.7e-05,4-Acid Digestion,0.073,7.3e-06,4-Acid Digestion,56600.000000,5.660000,4-Acid Digestion,0.89,8.9e-05,4-Acid Digestion,14.900000,0.001490,4-Acid Digestion,,,,40.300000,0.004030,4-Acid Digestion,146.0,0.0146,4-Acid Digestion,1.38,0.000138,4-Acid Digestion,164.000000,0.016400,4-Acid Digestion,3.35,0.000335,4-Acid Digestion,2.03,0.000203,4-Acid Digestion,0.87,8.7e-05,4-Acid Digestion,73100.000000,7.310000,4-Acid Digestion,14.800000,0.001480,4-Acid Digestion,2.89,0.000289,4-Acid Digestion,0.095,9.5e-06,4-Acid Digestion,1.66,0.000166,4-Acid Digestion,,,,0.67,6.7e-05,4-Acid Digestion,0.075,7.5e-06,4-Acid Digestion,,,,7300.0,0.73,4-Acid Digestion,6.6,0.00066,4-Acid Digestion,13.5,0.00135,4-Acid Digestion,0.29,2.9e-05,4-Acid Digestion,34400.0,3.44,4-Acid Digestion,1400.000000,0.140000,4-Acid Digestion,2.9,0.00029,4-Acid Digestion,18700.0,1.87,4-Acid Digestion,3.54,0.000354,4-Acid Digestion,8.740000,0.000874,4-Acid Digestion,68.0,0.0068,Aqua Regia Digestion,430.0,0.043,4-Acid Digestion,40.5,0.00405,4-Acid Digestion,,,,1.91,0.000191,4-Acid Digestion,,,,8.910000,0.000891,Aqua Regia Digestion,0.002,2e-07,4-Acid Digestion,,,,,,,5490.0,0.549,4-Acid Digestion,2.14,0.000214,4-Acid Digestion,33.3,0.00333,4-Acid Digestion,,,,,,,1.6,0.00016,Aqua Regia Digestion,1.32,0.000132,4-Acid Digestion,196.0,0.0196,4-Acid Digestion,0.24,2.4e-05,4-Acid Digestion,0.5,5e-05,4-Acid Digestion,0.14,1.4e-05,Aqua Regia Digestion,1.45,0.000145,4-Acid Digestion,5430.0,0.543,4-Acid Digestion,0.34,3.4e-05,4-Acid Digestion,0.29,2.9e-05,4-Acid Digestion,0.42,4.2e-05,4-Acid Digestion,116.0,0.0116,Aqua Regia Digestion,47.1,0.00471,4-Acid Digestion,18.300000,0.001830,4-Acid Digestion,1.87,0.000187,4-Acid Digestion,173.000000,0.017300,4-Acid Digestion,53.0,0.0053,4-Acid Digestion
OREAS0241,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-241/,1.71,0.000171,Aqua Regia Digestion,65000.000000,6.500000,4-Acid Digestion,71.0,0.0071,4-Acid Digestion,6.91,0.000691,Pb Fire Assay,92.0,0.0092,Aqua Regia Digestion,241.000000,0.024100,4-Acid Digestion,0.48,4.8e-05,4-Acid Digestion,0.067,6.7e-06,4-Acid Digestion,58300.000000,5.830000,4-Acid Digestion,0.64,6.4e-05,4-Acid Digestion,13.900000,0.001390,4-Acid Digestion,,,,40.900000,0.004090,4-Acid Digestion,83.0,0.0083,4-Acid Digestion,1.07,0.000107,4-Acid Digestion,169.000000,0.016900,4-Acid Digestion,3.86,0.000386,4-Acid Digestion,2.35,0.000235,4-Acid Digestion,0.96,9.6e-05,4-Acid Digestion,78300.000000,7.830000,4-Acid Digestion,15.800000,0.001580,4-Acid Digestion,3.41,0.000341,4-Acid Digestion,0.13,1.3e-05,Aqua Regia Digestion,1.81,0.000181,4-Acid Digestion,0.057,5.7e-06,Aqua Regia Digestion,0.83,8.3e-05,4-Acid Digestion,0.078,7.8e-06,4-Acid Digestion,,,,5780.0,0.578,4-Acid Digestion,6.18,0.000618,4-Acid Digestion,11.5,0.00115,4-Acid Digestion,0.35,3.5e-05,4-Acid Digestion,33400.0,3.34,4-Acid Digestion,1300.000000,0.130000,4-Acid Digestion,1.63,0.000163,4-Acid Digestion,21200.0,2.12,4-Acid Digestion,3.69,0.000369,4-Acid Digestion,9.090000,0.000909,4-Acid Digestion,46.5,0.00465,Aqua Regia Digestion,450.0,0.045,4-Acid Digestion,32.2,0.00322,4-Acid Digestion,,,,1.98,0.000198,4-Acid Digestion,,,,6.330000,0.000633,Aqua Regia Digestion,0.003,3e-07,4-Acid Digestion,,,,,,,4660.0,0.466,4-Acid Digestion,1.9,0.00019,4-Acid Digestion,37.4,0.00374,4-Acid Digestion,0.93,9.3e-05,4-Acid Digestion,,,,1.89,0.000189,Aqua Regia Digestion,1.13,0.000113,4-Acid Digestion,96.0,0.0096,4-Acid Digestion,0.26,2.6e-05,4-Acid Digestion,0.61,6.1e-05,4-Acid Digestion,0.11,1.1e-05,Aqua Regia Digestion,1.18,0.000118,4-Acid Digestion,6260.0,0.626,4-Acid Digestion,0.26,2.6e-05,4-Acid Digestion,0.35,3.5e-05,4-Acid Digestion,0.37,3.7e-05,4-Acid Digestion,152.0,0.0152,Aqua Regia Digestion,32.7,0.00327,4-Acid Digestion,21.000000,0.002100,4-Acid Digestion,2.28,0.000228,4-Acid Digestion,147.000000,0.014700,4-Acid Digestion,58.0,0.0058,4-Acid Digestion
OREAS0241b,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-241b/,1.73,0.000173,Aqua Regia Digestion,65100.000000,6.510000,4-Acid Digestion,87.0,0.0087,4-Acid Digestion,7.13,0.000713,Pb Fire Assay,29.9,0.00299,Aqua Regia Digestion,257.000000,0.025700,4-Acid Digestion,0.46,4.6e-05,4-Acid Digestion,0.069,6.9e-06,4-Acid Digestion,57900.000000,5.790000,4-Acid Digestion,0.78,7.8e-05,4-Acid Digestion,14.800000,0.001480,4-Acid Digestion,,,,39.800000,0.003980,4-Acid Digestion,119.0,0.0119,4-Acid Digestion,1.22,0.000122,4-Acid Digestion,166.000000,0.016600,4-Acid Digestion,3.63,0.000363,4-Acid Digestion,2.21,0.000221,4-Acid Digestion,0.97,9.7e-05,4-Acid Digestion,75400.000000,7.540000,4-Acid Digestion,15.300000,0.001530,4-Acid Digestion,3.06,0.000306,4-Acid Digestion,0.1,1e-05,4-Acid Digestion,1.75,0.000175,4-Acid Digestion,,,,0.76,7.6e-05,4-Acid Digestion,0.078,7.8e-06,4-Acid Digestion,,,,6290.0,0.629,4-Acid Digestion,6.34,0.000634,4-Acid Digestion,12.8,0.00128,4-Acid Digestion,0.32,3.2e-05,4-Acid Digestion,33100.0,3.31,4-Acid Digestion,1330.000000,0.133000,4-Acid Digestion,2.19,0.000219,4-Acid Digestion,19300.0,1.93,4-Acid Digestion,3.66,0.000366,4-Acid Digestion,9.200000,0.000920,4-Acid Digestion,55.0,0.0055,Aqua Regia Digestion,440.0,0.044,4-Acid Digestion,37.3,0.00373,4-Acid Digestion,,,,1.99,0.000199,4-Acid Digestion,,,,7.910000,0.000791,Aqua Regia Digestion,0.003,3e-07,4-Acid Digestion,,,,,,,4960.0,0.496,4-Acid Digestion,1.98,0.000198,4-Acid Digestion,35.3,0.00353,4-Acid Digestion,,,,,,,1.6,0.00016,Aqua Regia Digestion,1.32,0.000132,4-Acid Digestion,156.0,0.0156,4-Acid Digestion,0.25,2.5e-05,4-Acid Digestion,0.53,5.3e-05,4-Acid Digestion,0.13,1.3e-05,Aqua Regia Digestion,1.3,0.00013,4-Acid Digestion,5920.0,0.592,4-Acid Digestion,0.31,3.1e-05,4-Acid Digestion,0.32,3.2e-05,4-Acid Digestion,0.4,4e-05,4-Acid Digestion,131.0,0.0131,Aqua Regia Digestion,38.3,0.00383,4-Acid Digestion,19.500000,0.001950,4-Acid Digestion,2.1,0.00021,4-Acid Digestion,163.000000,0.016300,4-Acid Digestion,57.0,0.0057,4-Acid Digestion
OREAS0242,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-242/,2.05,0.000205,Aqua Regia Digestion,66900.000000,6.690000,4-Acid Digestion,68.0,0.0068,4-Acid Digestion,8.67,0.000867,Pb Fire Assay,52.0,0.0052,Aqua Regia Digestion,201.000000,0.020100,4-Acid Digestion,0.46,4.6e-05,4-Acid Digestion,0.055,5.5e-06,4-Acid Digestion,62000.000000,6.200000,4-Acid Digestion,0.65,6.5e-05,4-Acid Digestion,13.700000,0.001370,4-Acid Digestion,,,,39.500000,0.003950,4-Acid Digestion,92.0,0.0092,4-Acid Digestion,1.03,0.000103,4-Acid Digestion,174.000000,0.017400,4-Acid Digestion,3.64,0.000364,4-Acid Digestion,2.22,0.000222,4-Acid Digestion,0.88,8.8e-05,4-Acid Digestion,75800.000000,7.580000,4-Acid Digestion,15.100000,0.001510,4-Acid Digestion,3.25,0.000325,4-Acid Digestion,0.11,1.1e-05,Aqua Regia Digestion,1.78,0.000178,4-Acid Digestion,,,,0.76,7.6e-05,4-Acid Digestion,0.079,7.9e-06,4-Acid Digestion,,,,5470.0,0.547,4-Acid Digestion,5.92,0.000592,4-Acid Digestion,11.5,0.00115,4-Acid Digestion,0.31,3.1e-05,4-Acid Digestion,33200.0,3.32,4-Acid Digestion,1270.000000,0.127000,4-Acid Digestion,1.61,0.000161,4-Acid Digestion,18900.0,1.89,4-Acid Digestion,3.58,0.000358,4-Acid Digestion,8.680000,0.000868,4-Acid Digestion,48.9,0.00489,Aqua Regia Digestion,430.0,0.043,4-Acid Digestion,30.8,0.00308,4-Acid Digestion,,,,1.86,0.000186,4-Acid Digestion,0.01,1e-06,Aqua Regia Digestion,6.790000,0.000679,Aqua Regia Digestion,0.002,2e-07,Aqua Regia Digestion,,,,,,,4440.0,0.444,4-Acid Digestion,1.78,0.000178,4-Acid Digestion,37.3,0.00373,4-Acid Digestion,,,,,,,1.64,0.000164,Aqua Regia Digestion,1.15,0.000115,4-Acid Digestion,147.0,0.0147,4-Acid Digestion,0.25,2.5e-05,4-Acid Digestion,0.55,5.5e-05,4-Acid Digestion,0.11,1.1e-05,Aqua Regia Digestion,1.19,0.000119,4-Acid Digestion,6020.0,0.602,4-Acid Digestion,0.26,2.6e-05,4-Acid Digestion,0.32,3.2e-05,4-Acid Digestion,0.36,3.6e-05,4-Acid Digestion,142.0,0.0142,Aqua Regia Digestion,35.0,0.0035,4-Acid Digestion,20.100000,0.002010,4-Acid Digestion,2.18,0.000218,4-Acid Digestion,147.000000,0.014700,4-Acid Digestion,58.0,0.0058,4-Acid Digestion
OREAS0243,"Au >1 ppm, Au only",primary,greenstone,orogenic lode gold,yes,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-243/,3.06,0.000306,Aqua Regia Digestion,63800.000000,6.380000,4-Acid Digestion,85.0,0.0085,4-Acid Digestion,12.39,0.001239,Pb Fire Assay,85.0,0.0085,Aqua Regia Digestion,252.000000,0.025200,4-Acid Digestion,0.52,5.2e-05,4-Acid Digestion,0.077,7.7e-06,4-Acid Digestion,55900.000000,5.590000,4-Acid Digestion,0.79,7.9e-05,4-Acid Digestion,14.900000,0.001490,4-Acid Digestion,,,,39.300000,0.003930,4-Acid Digestion,85.0,0.0085,4-Acid Digestion,1.27,0.000127,4-Acid Digestion,173.000000,0.017300,4-Acid Digestion,3.79,0.000379,4-Acid Digestion,2.3,0.00023,4-Acid Digestion,0.93,9.3e-05,4-Acid Digestion,75500.000000,7.550000,4-Acid Digestion,15.400000,0.001540,4-Acid Digestion,3.33,0.000333,4-Acid Digestion,0.12,1.2e-05,Aqua Regia Digestion,1.85,0.000185,4-Acid Digestion,0.048,4.8e-06,Aqua Regia Digestion,0.8,8e-05,4-Acid Digestion,0.08,8e-06,4-Acid Digestion,,,,6430.0,0.643,4-Acid Digestion,6.71,0.000671,4-Acid Digestion,12.3,0.00123,4-Acid Digestion,0.35,3.5e-05,4-Acid Digestion,31900.0,3.19,4-Acid Digestion,1260.000000,0.126000,4-Acid Digestion,1.93,0.000193,4-Acid Digestion,20400.0,2.04,4-Acid Digestion,3.7,0.00037,4-Acid Digestion,9.190000,0.000919,4-Acid Digestion,46.8,0.00468,Aqua Regia Digestion,440.0,0.044,4-Acid Digestion,38.3,0.00383,4-Acid Digestion,,,,2.06,0.000206,4-Acid Digestion,,,,7.590000,0.000759,Aqua Regia Digestion,0.003,3e-07,4-Acid Digestion,,,,,,,5270.0,0.527,4-Acid Digestion,2.24,0.000224,4-Acid Digestion,35.9,0.00359,4-Acid Digestion,1.0 INDICATIVE,0.0001 INDICATIVE,4-Acid Digestion,,,,1.86,0.000186,Aqua Regia Digestion,1.25,0.000125,4-Acid Digestion,98.0,0.0098,4-Acid Digestion,0.26,2.6e-05,4-Acid Digestion,0.59,5.9e-05,4-Acid Digestion,0.13,1.3e-05,Aqua Regia Digestion,1.39,0.000139,4-Acid Digestion,6000.0,0.6,4-Acid Digestion,0.33,3.3e-05,4-Acid Digestion,0.34,3.4e-05,4-Acid Digestion,0.42,4.2e-05,4-Acid Digestion,145.0,0.0145,Aqua Regia Digestion,37.7,0.00377,4-Acid Digestion,20.300000,0.002030,4-Acid Digestion,2.2,0.00022,4-Acid Digestion,160.000000,0.016000,4-Acid Digestion,61.0,0.0061,4-Acid Digestion
OREAS0245,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-245/,1.44,0.000144,4-Acid Digestion,62400.000000,6.240000,4-Acid Digestion,3778.0,0.3778,4-Acid Digestion,25.73,0.002573,Pb Fire Assay,,,,549.000000,0.054900,4-Acid Digestion,2.34,0.000234,4-Acid Digestion,0.7,7e-05,4-Acid Digestion,8140.000000,0.814000,4-Acid Digestion,0.075,7.5e-06,4-Acid Digestion,66.000000,0.006600,4-Acid Digestion,,,,13.000000,0.001300,4-Acid Digestion,103.0,0.0103,4-Acid Digestion,8.71,0.000871,4-Acid Digestion,56.000000,0.005600,4-Acid Digestion,2.74,0.000274,4-Acid Digestion,1.43,0.000143,4-Acid Digestion,1.0,0.0001,4-Acid Digestion,34500.000000,3.450000,4-Acid Digestion,17.000000,0.001700,4-Acid Digestion,4.2,0.00042,4-Acid Digestion,,,,3.15,0.000315,4-Acid Digestion,,,,0.52,5.2e-05,4-Acid Digestion,0.059,5.9e-06,4-Acid Digestion,,,,25500.0,2.55,4-Acid Digestion,32.6,0.00326,4-Acid Digestion,38.0,0.0038,4-Acid Digestion,0.23,2.3e-05,4-Acid Digestion,12700.0,1.27,4-Acid Digestion,350.000000,0.035000,4-Acid Digestion,1.43,0.000143,4-Acid Digestion,4830.0,0.483,4-Acid Digestion,10.7,0.00107,4-Acid Digestion,29.000000,0.002900,4-Acid Digestion,,,,490.0,0.049,4-Acid Digestion,32.6,0.00326,4-Acid Digestion,,,,7.82,0.000782,4-Acid Digestion,,,,,,,0.002 INDICATIVE,2e-07 INDICATIVE,4-Acid Digestion,,,,,,,7650.0,0.765,4-Acid Digestion,3471.0,0.3471,4-Acid Digestion,11.5,0.00115,4-Acid Digestion,,,,,,,,,,3.38,0.000338,4-Acid Digestion,96.0,0.0096,4-Acid Digestion,0.86,8.6e-05,4-Acid Digestion,0.51,5.1e-05,4-Acid Digestion,,,,12.3,0.00123,4-Acid Digestion,3500.0,0.35,4-Acid Digestion,0.82,8.2e-05,4-Acid Digestion,0.22,2.2e-05,4-Acid Digestion,2.48,0.000248,4-Acid Digestion,,,,6.76,0.000676,4-Acid Digestion,12.500000,0.001250,4-Acid Digestion,1.48,0.000148,4-Acid Digestion,92.000000,0.009200,4-Acid Digestion,107.0,0.0107,4-Acid Digestion
OREAS0247,"Au >1 ppm, Au only",primary,metasediments,orogenic lode gold,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-247/,2.16,0.000216,4-Acid Digestion,60800.000000,6.080000,4-Acid Digestion,3514.0,0.3514,4-Acid Digestion,42.96,0.004296,Pb Fire Assay,,,,550.000000,0.055000,4-Acid Digestion,2.23,0.000223,4-Acid Digestion,0.58,5.8e-05,4-Acid Digestion,8260.000000,0.826000,4-Acid Digestion,0.065,6.5e-06,4-Acid Digestion,67.000000,0.006700,4-Acid Digestion,,,,12.000000,0.001200,4-Acid Digestion,97.0,0.0097,4-Acid Digestion,8.49,0.000849,4-Acid Digestion,42.200000,0.004220,4-Acid Digestion,2.73,0.000273,4-Acid Digestion,1.49,0.000149,4-Acid Digestion,0.96,9.6e-05,4-Acid Digestion,33200.000000,3.320000,4-Acid Digestion,16.300000,0.001630,4-Acid Digestion,4.23,0.000423,4-Acid Digestion,,,,3.57,0.000357,4-Acid Digestion,,,,0.54,5.4e-05,4-Acid Digestion,0.058,5.8e-06,4-Acid Digestion,,,,24500.0,2.45,4-Acid Digestion,33.1,0.00331,4-Acid Digestion,31.8,0.00318,4-Acid Digestion,0.24,2.4e-05,4-Acid Digestion,12200.0,1.22,4-Acid Digestion,360.000000,0.036000,4-Acid Digestion,1.76,0.000176,4-Acid Digestion,4990.0,0.499,4-Acid Digestion,11.7,0.00117,4-Acid Digestion,29.300000,0.002930,4-Acid Digestion,,,,480.0,0.048,4-Acid Digestion,31.9,0.00319,4-Acid Digestion,,,,7.9,0.00079,4-Acid Digestion,,,,,,,0.002 INDICATIVE,2e-07 INDICATIVE,4-Acid Digestion,,,,,,,7140.0,0.714,4-Acid Digestion,3295.0,0.3295,4-Acid Digestion,11.4,0.00114,4-Acid Digestion,,,,,,,,,,3.31,0.000331,4-Acid Digestion,96.0,0.0096,4-Acid Digestion,0.92,9.2e-05,4-Acid Digestion,0.53,5.3e-05,4-Acid Digestion,,,,12.6,0.00126,4-Acid Digestion,3900.0,0.39,4-Acid Digestion,0.8,8e-05,4-Acid Digestion,0.23,2.3e-05,4-Acid Digestion,2.53,0.000253,4-Acid Digestion,,,,7.88,0.000788,4-Acid Digestion,13.100000,0.001310,4-Acid Digestion,1.54,0.000154,4-Acid Digestion,86.000000,0.008600,4-Acid Digestion,125.0,0.0125,4-Acid Digestion
OREAS0024b,Blank/lithogeochem/low-level,primary,granodiorite,barren,yes,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-24b/,,,,80200.000000,8.020000,4-Acid Digestion,7.96,0.000796,Aqua Regia Digestion (sample weights 0.15-50g),0.003 INDICATIVE,3e-07 INDICATIVE,Pb Fire Assay,,,,716.000000,0.071600,4-Acid Digestion,2.92,0.000292,4-Acid Digestion,0.68,6.8e-05,4-Acid Digestion,10800.000000,1.080000,4-Acid Digestion,,,,84.000000,0.008400,4-Acid Digestion,,,,16.900000,0.001690,4-Acid Digestion,118.0,0.0118,4-Acid Digestion,10.7,0.00107,4-Acid Digestion,38.000000,0.003800,4-Acid Digestion,5.83,0.000583,Borate / Peroxide Fusion ICP,3.41,0.000341,Borate / Peroxide Fusion ICP,1.39,0.000139,Borate / Peroxide Fusion ICP,43900.000000,4.390000,4-Acid Digestion,20.100000,0.002010,4-Acid Digestion,6.27,0.000627,Borate / Peroxide Fusion ICP,,,,3.9,0.00039,4-Acid Digestion,,,,1.17,0.000117,Borate / Peroxide Fusion ICP,,,,,,,28100.0,2.81,4-Acid Digestion,42.4,0.00424,4-Acid Digestion,52.0,0.0052,4-Acid Digestion,0.49,4.9e-05,Borate / Peroxide Fusion ICP,16500.0,1.65,4-Acid Digestion,440.000000,0.044000,4-Acid Digestion,4.03,0.000403,4-Acid Digestion,8460.0,0.846,4-Acid Digestion,14.6,0.00146,4-Acid Digestion,38.700000,0.003870,Borate / Peroxide Fusion ICP,61.0,0.0061,Borate / Peroxide Fusion ICP,690.0,0.069,4-Acid Digestion,23.1,0.00231,4-Acid Digestion,,,,10.2,0.00102,Borate / Peroxide Fusion ICP,,,,161.000000,0.016100,Borate / Peroxide Fusion ICP,,,,,,,,,,1980.0,0.198,4-Acid Digestion,1.0,0.0001,4-Acid Digestion,15.3,0.00153,4-Acid Digestion,,,,308507.048000,30.850705,Borate Fusion XRF,7.17,0.000717,Borate / Peroxide Fusion ICP,4.25,0.000425,4-Acid Digestion,124.0,0.0124,4-Acid Digestion,1.23,0.000123,4-Acid Digestion,0.98,9.8e-05,Borate / Peroxide Fusion ICP,,,,16.4,0.00164,4-Acid Digestion,4680.0,0.468,4-Acid Digestion,0.86,8.6e-05,4-Acid Digestion,0.5,5e-05,Borate / Peroxide Fusion ICP,3.06,0.000306,4-Acid Digestion,112.0,0.0112,Borate / Peroxide Fusion ICP,3.64,0.000364,4-Acid Digestion,19.900000,0.001990,4-Acid Digestion,3.24,0.000324,Borate / Peroxide Fusion ICP,105.000000,0.010500,4-Acid Digestion,134.0,0.0134,4-Acid Digestion
OREAS0024c,Blank/lithogeochem/low-level,primary,basalt,barren,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-24c/,0.2 INDICATIVE,2e-05 INDICATIVE,4-Acid Digestion,74500.000000,7.450000,4-Acid Digestion,0.2 INDICATIVE,2e-05 INDICATIVE,4-Acid Digestion,0.001 INDICATIVE,1e-07 INDICATIVE,Pb Fire Assay,,,,269.000000,0.026900,4-Acid Digestion,1.05,0.000105,4-Acid Digestion,0.1 INDICATIVE,1e-05 INDICATIVE,4-Acid Digestion,58600.000000,5.860000,4-Acid Digestion,0.1 INDICATIVE,1e-05 INDICATIVE,4-Acid Digestion,,,,,,,42.700000,0.004270,4-Acid Digestion,193.0,0.0193,4-Acid Digestion,,,,48.600000,0.004860,4-Acid Digestion,,,,,,,,,,76200.000000,7.620000,4-Acid Digestion,,,,,,,,,,3.75,0.000375,4-Acid Digestion,,,,,,,,,,,,,7350.0,0.735,4-Acid Digestion,,,,8.32,0.000832,4-Acid Digestion,,,,39300.0,3.93,4-Acid Digestion,1080.000000,0.108000,4-Acid Digestion,2.49,0.000249,4-Acid Digestion,24200.0,2.42,4-Acid Digestion,23.8,0.00238,4-Acid Digestion,,,,,,,1560.0,0.156,4-Acid Digestion,2.9,0.00029,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,0.1 INDICATIVE,1e-05 INDICATIVE,4-Acid Digestion,21.6,0.00216,4-Acid Digestion,,,,,,,,,,1.51,0.000151,4-Acid Digestion,442.0,0.0442,4-Acid Digestion,1.48,0.000148,4-Acid Digestion,,,,,,,3.08,0.000308,4-Acid Digestion,10600.0,1.06,4-Acid Digestion,,,,,,,0.76,7.6e-05,4-Acid Digestion,,,,0.53,5.3e-05,4-Acid Digestion,22.300000,0.002230,4-Acid Digestion,,,,108.000000,0.010800,4-Acid Digestion,143.0,0.0143,4-Acid Digestion
OREAS0024d,Blank/lithogeochem/low-level,primary,basalt,barren,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-24d/,0.2 INDICATIVE,2e-05 INDICATIVE,4-Acid Digestion,77700.000000,7.770000,4-Acid Digestion,1.35,0.000135,4-Acid Digestion,0.001 INDICATIVE,1e-07 INDICATIVE,Pb Fire Assay,,,,536.000000,0.053600,4-Acid Digestion,2.14,0.000214,4-Acid Digestion,0.03,3e-06,4-Acid Digestion,56200.000000,5.620000,4-Acid Digestion,0.12,1.2e-05,4-Acid Digestion,59.000000,0.005900,4-Acid Digestion,,,,44.200000,0.004420,4-Acid Digestion,147.0,0.0147,4-Acid Digestion,1.18,0.000118,4-Acid Digestion,43.200000,0.004320,4-Acid Digestion,,,,,,,,,,79700.000000,7.970000,4-Acid Digestion,22.100000,0.002210,4-Acid Digestion,,,,,,,4.7,0.00047,4-Acid Digestion,,,,,,,0.074,7.4e-06,4-Acid Digestion,,,,16900.0,1.69,4-Acid Digestion,29.1,0.00291,4-Acid Digestion,10.8,0.00108,4-Acid Digestion,0.23,2.3e-05,4-Acid Digestion,45600.0,4.56,4-Acid Digestion,1150.000000,0.115000,4-Acid Digestion,4.46,0.000446,4-Acid Digestion,23300.0,2.33,4-Acid Digestion,44.6,0.00446,4-Acid Digestion,,,,,,,2520.0,0.252,4-Acid Digestion,3.56,0.000356,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,420.0,0.042,4-Acid Digestion,,,,20.0,0.002,4-Acid Digestion,,,,,,,,,,1.89,0.000189,4-Acid Digestion,748.0,0.0748,4-Acid Digestion,3.01,0.000301,4-Acid Digestion,0.79,7.9e-05,4-Acid Digestion,,,,3.78,0.000378,4-Acid Digestion,12200.0,1.22,4-Acid Digestion,0.12,1.2e-05,4-Acid Digestion,,,,1.4,0.00014,4-Acid Digestion,,,,,,,20.400000,0.002040,4-Acid Digestion,,,,104.000000,0.010400,4-Acid Digestion,205.0,0.0205,4-Acid Digestion
